;date;ghostrider44;Peilscheibe;Albrecht Kurz;feisalsbrother;20Jakob09;Henri97;20jojoma11;ramack;changchun_1;micha_k;svenosm;Quarkteilchen;L___I;ASt;tordans;Supaplex030;Michael Be;st1974;Lizium;UE_Su;sargafl;MitteloberrheinischerWaldameisenschreck;DirkScheumann;st0rm-r1der;Yokr;Eric B\xc3\xb6hnisch-Volkmann;mrab;townlion;SaijaP;CatuBu;Friedrich Eberhardt;Loth;quellcode1234;\xe1\x9a\x9b\xe1\x9a\x90\xe1\x9a\x8b\xe1\x9a\x90\xe1\x9a\x85\xe1\x9a\x87\xe1\x9a\x90\xe1\x9a\x9c \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88;xMaxnetx;TheCrazyMaffin;rkrause;trapicki;okilimu;whb;skyper;Shezi;Wariner;a_hei;Impecco;Geofreund1;fraq42;biker82;michael2402;Stingray80;Kasamap;DD1GJ;Baw\xc3\xbcTata;srikmar;jf_simon;miscosm;DianaDemchuk;navigate1972;Ygramul;macabu;iamdavid;Timonade;Markus K;Stefan Karl;Walter Schl\xc3\xb6gl;WanderTobi;hagu;Ethera;Slumpine;Jorisbo;Qwave;MaestroGlanz;MarkusHD;blue_fire;Mitsch;Nakaner;Oehly18;Nonexhudlix;miles25;Troynie;Maki001;KVI0n;Freischneider;Daniel22Ka;AtomMapper;AllesMeins;SteveK;Tschaeck;frunk!;fx99;kartler175;j1scad;icebird333;regedemu;remoh10;geodreieck4711;sierra-uniform;singhiyv;friedel_hn;Voitl-Fan;fanzinies;bikeboerny;asnghpi;adlermb201;alleswasbewegt_de;Ze0zohk1;Westwind;mapper999;*cw
0;2022-01-01;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
1;2022-01-02;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
2;2022-01-03;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
3;2022-01-04;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
4;2022-01-05;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
5;2022-01-06;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
6;2022-01-07;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
7;2022-01-08;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
8;2022-01-09;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
9;2022-01-10;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
10;2022-01-11;370;305;10;;;;;2;22;11;;23;;;;;;;4;;;13;12;12;11;4;11;9;;;;8;8;;7;2.0;6;6;5;;4;;4;;4;4;3;;3;3;3;;3;2.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
